full_address,shape_X,shape_Y
"138 Shetland Street, Wakari, Dunedin",170.4829821,-45.8584367
"202 Cargill Street, Dunedin Central, Dunedin",170.4964202,-45.8725218
"20 Elder Street, Dunedin Central, Dunedin",170.5046774,-45.86680688
"19 Stevenson Avenue, Sawyers Bay, Dunedin",170.6042321,-45.81697873
"21 Hall Road, Sawyers Bay, Dunedin",170.5998452,-45.81767435
"154 Albany Street, North Dunedin, Dunedin",170.5162451,-45.868461
"26 Corsall Street, Upper Junction, Dunedin",170.5726591,-45.83437037
"52 Braemar Street, Mosgiel",170.3341355,-45.87180345
"15 Scotland Terrace, Green Island, Dunedin",170.4403767,-45.9031765
"31 Ajax Road, Port Chalmers, Dunedin",170.6186937,-45.81654783
"11 Clearwater Street, Broad Bay, Dunedin",170.6223101,-45.84979293
"12 Melrose Street, Portobello, Dunedin",170.6546583,-45.84205363
"153 Gordon Road, Mosgiel",170.347581,-45.87351302
"76 Church Street, Mosgiel",170.3533219,-45.88131822
"53 George Street, Port Chalmers, Dunedin",170.6204532,-45.81684178
"15 Grove Street, Saint Kilda, Dunedin",170.5058037,-45.89989475
"14 Michie Street, Belleknowes, Dunedin",170.4844157,-45.87330943
"26 Ipswich Street, Bradford, Dunedin",170.4719755,-45.87086237
"32 Neill Street, Abbotsford, Dunedin",170.4312892,-45.8998597
"95 Crawford Street, Dunedin Central, Dunedin",170.5017254,-45.8810316
"776 Cumberland Street, North Dunedin, Dunedin",170.5140214,-45.86242722
"21 Thames Street, Mosgiel",170.3606305,-45.86892258
"3 Thames Street, Mosgiel",170.3584676,-45.86954228
"69 Stirling Crescent, Mosgiel",170.3551023,-45.86964095
"10 Arran Street, Mosgiel",170.3580282,-45.87609315
"14 Kinmont Crescent, Kinmont Park, Mosgiel",170.3553406,-45.89155657
"35 Rankeilor Street, South Dunedin, Dunedin",170.4995236,-45.89354537
"2 Burkes Drive, Saint Leonards, Dunedin",170.5720669,-45.85644705
"4 Parklands Avenue, Mosgiel",170.3627009,-45.87668795
"32 Paterson Road, Mosgiel",170.388133,-45.87892593
"34 Westgate, Corstorphine, Dunedin",170.4664559,-45.91200305
"21 Main South Road, East Taieri, Mosgiel",170.3442583,-45.8959527
"368 Princes Street, Dunedin Central, Dunedin",170.500231,-45.8797256
"166 Scroggs Hill Road, Scroggs Hill, Dunedin",170.3296459,-45.935126
"64 Bridgman Street, Kensington, Dunedin",170.4981555,-45.89073735
"10B Mount Street, Wakari, Dunedin",170.482629,-45.85979895
"2 Solar Terrace, Broad Bay, Dunedin",170.630972,-45.847142
"16A Scotland Terrace, Green Island, Dunedin",170.442289,-45.90286398
"2 Hilltop Crescent, Corstorphine, Dunedin",170.4665301,-45.91222678
"153C Macandrew Road, South Dunedin, Dunedin",170.496478,-45.89853173
"944 Brighton Road, Brighton, Dunedin",170.3363264,-45.94433145
"11 Glenelg Street, Bradford, Dunedin",170.4709191,-45.87415005
"11 Forth Street, Mosgiel",170.3453187,-45.87275707
"17 Murray Street, Mosgiel",170.3503956,-45.86881025
"26 Nairn Street, Mosgiel",170.3517014,-45.86929452
"2 Ross Street, Mosgiel",170.3513774,-45.8719698
"20 Alexander Street, Abbotsford, Dunedin",170.4220108,-45.8958914
"30 Exeter Street, Abbotsford, Dunedin",170.4249024,-45.89538997
"91 Gilkison Street, Halfway Bush, Dunedin",170.4733666,-45.85378942
"49 Mooltan Street, Halfway Bush, Dunedin",170.4654248,-45.86032952
"104 Elgin Road, Kenmure, Dunedin",170.4744678,-45.885933
"146 Shetland Street, Wakari, Dunedin",170.4832206,-45.85785208
"18 Gilmore Street, Wakari, Dunedin",170.4818402,-45.86112833
"1 Clayton Street, Saint Clair, Dunedin",170.4792785,-45.91462013
"392 Pine Hill Road, Pine Hill, Dunedin",170.5198323,-45.84153648
"94 Abbotts Hill Road, Abbotsford, Dunedin",170.4304051,-45.89021408
"321 Gladstone Road North, Mosgiel",170.39381,-45.87436005
"13 Delphic Street, Sawyers Bay, Dunedin",170.5974036,-45.81695013
"23 Delphic Street, Sawyers Bay, Dunedin",170.5966754,-45.81663635
"43 Doon Street, Mosgiel",170.3606328,-45.87676665
"47 High Street, Mosgiel",170.3571217,-45.87622367
"61 Doon Street, Mosgiel",170.3625337,-45.87623657
"6 Arran Street, Mosgiel",170.358194,-45.87638653
"15 Kaler Street, Green Island, Dunedin",170.4465896,-45.9035337
"16 Koremata Street, Green Island, Dunedin",170.4493755,-45.90287683
"45 Scroggs Hill Road, Brighton, Dunedin",170.3329477,-45.941996
"282A Main South Road, Green Island, Dunedin",170.4202369,-45.90214707
"18 Montecillo Lane, Mornington, Dunedin",170.4888295,-45.88744883
"18 Wilkie Road, Kensington, Dunedin",170.4959285,-45.89229605
"357 Riccarton Road West, Mosgiel",170.3073947,-45.86410197
"232 Larnach Road, Waverley, Dunedin",170.538759,-45.88278172
"49 Severn Street, Green Island, Dunedin",170.416336,-45.89523827
"43 Thames Street, Mosgiel",170.3630436,-45.86823342
"95 Factory Road, Mosgiel",170.3582896,-45.87068272
"69 Doon Street, Mosgiel",170.3633805,-45.87600515
"7 Dunbar Place, Mosgiel",170.3597941,-45.87607567
"114 Chain Hills Road, Chain Hills, Dunedin",170.3749809,-45.88930828
"82 Glen Road, The Glen, Dunedin",170.4866456,-45.88869848
"76 Main Road, Fairfield, Dunedin",170.39586,-45.89816493
"274 Dukes Road North, Mosgiel",170.3735205,-45.85290397
"258 Chain Hills Road, Chain Hills, Dunedin",170.3899368,-45.88643212
"10 Edith Street, Fairfield, Dunedin",170.3943514,-45.9043519
"440 Brighton Road, Westwood, Dunedin",170.3865909,-45.92777928
"34 Bernard Street, Kenmure, Dunedin",170.4722181,-45.88506793
"38 Mornington Road, Balaclava, Dunedin",170.4692692,-45.89039805
"48 Silverstream Drive, Mosgiel",170.3345741,-45.87451232
"19 Goodall Street, Mosgiel",170.3398167,-45.87124642
"14 McDonald Street, Mosgiel",170.3459495,-45.88238418
"38 Argyle Street, Mosgiel",170.3486255,-45.88335448
"3 Glasgow Street, Mosgiel",170.3466962,-45.87524313
"3 Irvine Street, Mosgiel",170.3472535,-45.8753231
"21 Bush Road, Mosgiel",170.3445104,-45.87487108
"34 Tyne Street, Mosgiel",170.3392333,-45.87197442
"5A Traquair Street, Corstorphine, Dunedin",170.4724851,-45.90350802
"7B Cornhill Street, North East Valley, Dunedin",170.5193207,-45.85396213
"43A Duke Street, North Dunedin, Dunedin",170.515622,-45.85760797
"422 George Street, North Dunedin, Dunedin",170.5075086,-45.86757627
"11 McGlashan Street, Mosgiel",170.3531217,-45.88750725
"9 Shulma Street, Abbotsford, Dunedin",170.4280248,-45.89660447
"62A Fitzroy Street, Caversham, Dunedin",170.4841179,-45.89805697
"79 Severn Street, Green Island, Dunedin",170.414089,-45.8945307
"14 Montecillo Lane, Mornington, Dunedin",170.4887457,-45.8872663
"58 Waldron Crescent, Green Island, Dunedin",170.422747,-45.89971287
"138 Outram-Mosgiel Road, Mosgiel",170.3236126,-45.8582993
"1 Northumberland Street, North East Valley, Dunedin",170.5260371,-45.84987473
"7 Heasley Lane, Mosgiel",170.3929892,-45.87414253
"11B Allandale Road, Saint Clair, Dunedin",170.4864172,-45.90742977
"1D Forth Street, Mosgiel",170.3459761,-45.87401252
"33B Hargest Crescent, Saint Kilda, Dunedin",170.4953407,-45.90482585
"24 Lorne Street, Mosgiel",170.3560534,-45.86853605
"43 Harington Point Road, Portobello, Dunedin",170.6560081,-45.83806793
"120 Riselaw Road, Calton Hill, Dunedin",170.4697938,-45.90223358
"91 Arthur Street, Dunedin Central, Dunedin",170.4935067,-45.87644328
"12 Shandon Street, Roseneath, Dunedin",170.6005916,-45.8263396
"15 Shandon Street, Roseneath, Dunedin",170.60106,-45.82625233
"2A Rona Street, Saint Kilda, Dunedin",170.514229,-45.89931483
"53 Ward Street, Dunedin Central, Dunedin",170.5130011,-45.87299842
"46A Eskvale Street, Saint Kilda, Dunedin",170.5088535,-45.90113645
"40 Brook Street, North Dunedin, Dunedin",170.5188776,-45.85878338
"177A Bay View Road, South Dunedin, Dunedin",170.4925172,-45.90431593
